cnpj;empresa;exercicio;remuneracao_total;remuneracao_diretoria;remuneracao_conselho_adm;remuneracao_conselho_fiscal;receita;acoes_integralizadas;acoes_tesouraria;acoes_ex_tesouraria;origem_acoes;tickers;preco_medio_ponderado;precos_por_classe;market_cap;rem_sobre_receita_pct;rem_sobre_market_cap_pct;previsao;parcela_previsao;receita_origem;alertas_mercado;setor;apelido
61.079.117/0001-05;ALPARGATAS S.A.;2023;23422074.74;15823633.93;7598440.81;;3734146000.0;683062222.0;7925654.0;675136568.0;DFP;ON:ALPA3/PN:ALPA4;10.275891968913603;ALPA3 10.43 / ALPA4 10.12;6937630437.031093;0.6272404651558884;0.3376091441103528;False;0.0;DRE_con 2023;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2024;35790902.53;30476691.14;5314211.39;;4108311000.0;683062222.0;6632564.0;676429658.0;DFP;ON:ALPA3/PN:ALPA4;6.078927377102171;ALPA3 5.80 / ALPA4 6.36;4111966766.7000585;0.8711828907305216;0.8704083607835909;False;0.0;DRE_con 2024;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2025;30501301.98;25952401.98;4548900.0;;4564874000.0;683062222.0;5209498.0;677852724.0;DFP;ON:ALPA3/PN:ALPA4;11.158655160202514;ALPA3 10.38 / ALPA4 11.94;7563924796.51993;0.6681740170703507;0.4032470285007762;False;0.0;DRE_con 2025;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;2026;35138208.16;25786074.16;9352134.0;;;683062222.0;3860286.0;679201936.0;FRE;ON:ALPA3/PN:ALPA4;12.582229391911564;ALPA3 10.62 / ALPA4 14.38;8545874562.182438;;0.41117158816600313;True;1.0;;;Consumo;Alpargatas
07.526.557/0001-00;AMBEV S.A.;2010;0.0;0.0;;;;;;;;ON:ABEV3;;;;;;False;0.0;;sem DFP;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2011;57623815.0;42473317.0;13636844.0;1513654.0;0.0;;;;;ON:ABEV3;;;;;;False;0.0;DRE_ind 2012;sem quantidade de acoes;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2012;65288283.0;50715814.0;13181189.0;1391280.0;0.0;;;;;ON:ABEV3;;;;;;False;0.0;DRE_ind 2012;sem quantidade de acoes;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2013;74635393.0;60985036.0;12241642.0;1408715.0;34791391000.0;15670882544.0;936217.0;15669946327.0;FRE;ON:ABEV3;16.088518142700195;ABEV3 16.09;252106215777.0778;0.21452258979814862;0.02960474130713046;False;0.0;DRE_con 2013;;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2014;63013180.0;49680554.0;11794608.0;1538018.0;38079786000.0;15717615419.0;3615366.0;15714000053.0;FRE;ON:ABEV3;17.690000534057617;ABEV3 17.69;277980669329.7514;0.165476717752563;0.02266818773835361;False;0.0;DRE_con 2014;;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2015;72747868.35;57409940.35;13663358.0;1674570.0;46720141000.0;15717615419.0;3948266.0;15713667153.0;FRE;ON:ABEV3;18.65999984741211;ABEV3 18.66;293217026677.26465;0.1557098647240812;0.02481024692678281;False;0.0;DRE_con 2015;;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2016;59642214.85;40129586.85;17735694.0;1776934.0;45602561000.0;15717615419.0;19150638.0;15698464781.0;FRE;ON:ABEV3;17.200000762939453;ABEV3 17.20;270013606210.17813;0.1307869855160108;0.022088596084885663;False;0.0;DRE_con 2016;;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2017;74130312.0;52812478.0;19462209.0;1855625.0;47899276000.0;15722147311.0;5124491.0;15717022820.0;FRE;ON:ABEV3;21.950000762939453;ABEV3 21.95;344988662890.1368;0.15476290706356396;0.021487753069615256;False;0.0;DRE_con 2017;;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2018;56663853.0;40448713.0;14425580.0;1789560.0;50231336000.0;15727281737.0;369550.0;15726912187.0;FRE;ON:ABEV3;17.510000228881836;ABEV3 17.51;275378235993.97455;0.11280578521741887;0.020576736137288585;False;0.0;DRE_con 2018;;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2019;77081252.0;60838118.0;14325234.0;1917900.0;52599709000.0;15735117965.0;2722256.0;15732395709.0;FRE;ON:ABEV3;18.670000076293945;ABEV3 18.67;293723829087.3165;0.1465431149058258;0.026242764245418347;False;0.0;DRE_con 2019;;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2020;66259080.57;52867011.81;11675425.76;1716643.0;58378995000.0;15735118000.0;203000.0;15734915000.0;DFP (corrigido de milhares);ON:ABEV3;15.649999618530272;ABEV3 15.65;246251413747.60626;0.11349815215215678;0.026907086364146442;False;0.0;DRE_con 2020;quantidade de acoes da DFP estava em milhares;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2021;111064174.33000001;83664608.95;25591432.98;1808132.4;72854344000.0;15744452000.0;5783000.0;15738669000.0;DFP (corrigido de milhares);ON:ABEV3;15.460000038146973;ABEV3 15.46;243319823340.38257;0.15244687994170947;0.04564534562177091;False;0.0;DRE_con 2021;quantidade de acoes da DFP estava em milhares;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2022;120175963.0;95335200.0;22844255.0;1996508.0;79708827000.0;15750217000.0;8482000.0;15741735000.0;DFP (corrigido de milhares);ON:ABEV3;14.520000457763672;ABEV3 14.52;228569999405.99442;0.15076870093697403;0.05257731255734006;False;0.0;DRE_con 2022;quantidade de acoes da DFP estava em milhares;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2023;135101720.09;114208574.51;18764226.58;2128919.0;79736856000.0;15753833000.0;4384000.0;15749449000.0;DFP (corrigido de milhares);ON:ABEV3;13.729999542236328;ABEV3 13.73;216239927560.4744;0.16943447091768957;0.06247769392737009;False;0.0;DRE_con 2023;quantidade de acoes da DFP estava em milhares;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2024;158604324.51;136774933.02;19618532.85;2210858.64;89452669000.0;15757657000.0;29807000.0;15727850000.0;DFP (corrigido de milhares);ON:ABEV3;11.739999771118164;ABEV3 11.74;184644955400.18082;0.1773053015444402;0.08589691723029043;False;0.0;DRE_con 2024;quantidade de acoes da DFP estava em milhares;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2025;187771454.95999998;168434249.72;17021692.82;2315512.42;88242467000.0;15761639000.0;145113000.0;15616526000.0;DFP (corrigido de milhares);ON:ABEV3;13.859999656677244;ABEV3 13.86;216445044998.49127;0.21279035065962057;0.08675248489116895;False;0.0;DRE_con 2025;quantidade de acoes da DFP estava em milhares;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;2026;164648045.0;144674186.0;17502545.0;2471314.0;;15484664889.0;68178365.0;15416486524.0;FRE;ON:ABEV3;15.22999954223633;ABEV3 15.23;234793082703.41254;;0.07012474264754265;True;1.0;;;Consumo;Ambev
28.594.234/0001-23;AUREN ENERGIA S.A.;2018;0.0;0.0;0.0;0.0;;;;;;ON:AURE3;;;;;;False;0.0;;sem DFP;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;2019;1209876.49;1209876.49;0.0;0.0;;;;;;ON:AURE3;;;;;;False;0.0;;sem DFP;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;2020;2124402.84;2124402.84;0.0;0.0;2307057000.0;;;;;ON:AURE3;;;;0.09208280679671113;;False;0.0;DRE_con 2021;sem quantidade de acoes;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;2021;1661297.33;1661297.33;0.0;0.0;2624114000.0;1985095000.0;0.0;1985095000.0;DFP (corrigido de milhares);ON:AURE3;;;;0.06330888558957423;;False;0.0;DRE_con 2021;"sem cotacao no exercicio; quantidade de acoes da DFP estava em milhares";Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;2022;17773516.990000002;15883516.99;1890000.0;;5515706000.0;1000000000.0;0.0;1000000000.0;DFP (corrigido de milhares);ON:AURE3;14.729999542236328;AURE3 14.73;14729999542.236328;0.3222346693242896;0.12066203355293251;False;0.0;DRE_con 2022;quantidade de acoes da DFP estava em milhares;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;2023;30901237.13;28481237.13;2420000.0;;6181890000.0;1000000000.0;0.0;1000000000.0;DFP (corrigido de milhares);ON:AURE3;13.3100004196167;AURE3 13.31;13310000419.6167;0.4998671462934475;0.2321655609000341;False;0.0;DRE_con 2023;quantidade de acoes da DFP estava em milhares;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;2024;27952153.18;24351353.18;3600800.0;;8059951000.0;1050378000.0;5400000.0;1044978000.0;DFP (corrigido de milhares);ON:AURE3;8.770000457763672;AURE3 8.77;9164457538.352966;0.34680301629625293;0.30500608533588724;False;0.0;DRE_con 2024;quantidade de acoes da DFP estava em milhares;Utilities;Auren
