cnpj;empresa;orgao;exercicio;n_membros;n_membros_remunerados;salario;beneficios;participacoes_comites;outros_fixos;bonus;participacao_resultados;participacao_reunioes;comissoes;outros_variaveis;pos_emprego;cessacao_cargo;baseada_acoes;total_orgao;total_empresa;soma_verbas;dif_soma_total;alertas_82;desc_outras_fixas;desc_outras_variaveis;observacao;previsao;fre;data_referencia;versao;id_documento
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2018;3.5;3.5;4404927.19;172282.25;0.0;1113453.81;1934400.0;900075.22;0.0;0.0;386880.0;0.0;531230.31;3944105.79;13387354.57;16341218.9;13387354.57;0.0;;Encargos: FGTS e INSS;;Os valores inseridos nesta tabela incluem encargos de ônus do empregador.;False;2021;2021-01-01;12;114619
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2018;7.0;6.0;1617240.0;0.0;592000.0;441848.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2651088.0;16341218.9;2651088.0;0.0;;Encargos: INSS;;Os valores inseridos nesta tabela incluem encargos de ônus do empregador.;False;2021;2021-01-01;12;114619
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2018;2.0;2.0;252313.61;0.0;0.0;50462.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;302776.33;16341218.9;302776.33;0.0;;Enca rgos: INSS;;Os valores inseridos nesta tabela incluem encargos de ônus do empregador.;False;2021;2021-01-01;12;114619
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2019;3.33;3.33;4004375.43;132059.6;0.0;1018215.16;3008392.68;1357157.76;0.0;0.0;592851.07;0.0;0.0;3804537.0;13917588.7;17445999.75;13917588.7;0.0;;Encargos: FGTS e INSS;Encargos: INSS Bônus;Os valores inseridos nesta tabela incluem encargos de ônus do empregador.;False;2022;2022-01-01;11;127081
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2019;7.0;6.0;1874588.54;0.0;688783.33;508764.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3052046.24;17445999.75;3072136.24;20090.0;soma das verbas != total do orgao;Encargos: INSS;;Os valores inseridos nesta tabela incluem encargos de ônus do empregador.;False;2022;2022-01-01;11;127081
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2019;3.0;3.0;396970.67;0.0;0.0;79394.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;476364.8;17445999.75;476364.8;0.0;;Encargos: INSS;;Os valores inseridos nesta tabela incluem encargos de ônus do empregador.;False;2022;2022-01-01;11;127081
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2020;3.0;3.0;3749771.88;118244.34;0.0;962076.2;4067891.36;1149755.43;0.0;0.0;673578.27;0.0;0.0;3295849.42;14017166.9;17357763.53;14017166.9;0.0;;Encargos: FGTS e INSS;Encargos: INSS;* Os valores inseridos nesta tabela incluem encargos de ônus do empregador.;False;2023;2023-12-31;9;136975
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2020;7.0;6.0;1703405.06;0.0;675000.0;475652.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2854057.36;17357763.53;2854057.36;0.0;;Encargos: INSS;;* Os valores inseridos nesta tabela incluem encargos de ônus do empregador.;False;2023;2023-12-31;9;136975
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2020;3.0;3.0;405438.47;0.0;0.0;81100.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;486539.27;17357763.53;486539.27;0.0;;Encargos: INSS;;* Os valores inseridos nesta tabela incluem encargos de ônus do empregador.;False;2023;2023-12-31;9;136975
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2021;2.75;2.75;4468180.7;140297.39;0.0;0.0;3924972.34;2624400.0;0.0;0.0;0.0;0.0;183591.7;3470548.75;14811990.88;17939196.16;14811990.88;0.0;;;;* Valores não consideram encargos de ônus do empregador. Para permitir a comparação com anos anteriores, o item 8.20 deste Formulário de Referência traz informações sobre valores dos encargos de ônus do empregador do exercício de 2021.;False;2024;2024-12-31;23;147415
