cnpj;empresa;orgao;exercicio;n_membros;n_membros_remunerados;total_orgao;salario;beneficios;bonus;participacao_resultados;baseada_acoes;previsao;fre;data_referencia;versao;id_documento
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2024;5.0;5.0;5307431.96;5307431.96;0.0;0.0;0.0;0.0;True;2024;2024-12-31;8;147526
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2024;5.0;5.0;4800000.0;4800000.0;0.0;0.0;0.0;0.0;False;2025;2025-12-31;9;157300
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2024;5.0;5.0;4800000.0;4800000.0;0.0;0.0;0.0;0.0;False;2026;2026-12-31;3;159084
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2025;5.0;5.0;5016000.0;4956000.0;0.0;0.0;0.0;0.0;True;2025;2025-12-31;9;157300
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2025;5.0;5.0;5016000.0;5016000.0;0.0;0.0;0.0;0.0;False;2026;2026-12-31;3;159084
45.242.914/0001-05;C&A MODAS S.A.;Conselho de Administração;2026;5.0;5.0;5228000.0;5228000.0;0.0;0.0;0.0;0.0;True;2026;2026-12-31;3;159084
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2020;2020-01-01;16;104576
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2021;2021-01-01;8;115612
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2022;2022-01-01;4;127200
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;2020;2020-01-01;16;104576
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2021;2021-01-01;8;115612
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2022;2022-01-01;4;127200
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2023;2023-12-31;4;131429
