cnpj;empresa;orgao;exercicio;previsto_maxima;realizado_maxima;desvio_maxima;desvio_maxima_pct;previsto_media;realizado_media;desvio_media;desvio_media_pct;previsto_minima;realizado_minima;desvio_minima;desvio_minima_pct;fre_previsao;fre_realizado;situacao;setor;apelido
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2013;;17173973.12;;;;5544094.18;;;;1731534.14;;;;2016;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2013;;8871395.0;;;;1748806.0;;;;313047.7;;;;2016;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2013;;313047.7;;;;234785.83;;;;156523.85;;;;2016;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2014;;22489382.0;;;;4968055.4;;;;2326654.0;;;;2017;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2014;;5960938.0;;;;1310512.0;;;;332920.0;;;;2017;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2014;;372799.0;;;;256336.33;;;;166460.0;;;;2017;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2015;;21358583.28;;;;5600969.79;;;;1864211.66;;;;2018;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2015;;10095576.27;;;;1518150.89;;;;358109.18;;;;2018;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2015;;421187.76;;;;295512.35;;;;179054.54;;;;2018;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2016;;14930055.45;;;;3648144.26;;;;1217949.83;;;;2019;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2016;;8304164.9;;;;1970632.67;;;;390081.07;;;;2019;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2016;;390081.07;;;;296155.67;;;;133813.92;;;;2019;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2017;;14065113.97;;;;4801134.36;;;;2466975.34;;;;2020;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2017;;10292851.37;;;;2162467.67;;;;412360.99;;;;2020;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2017;;412360.99;;;;309270.83;;;;206180.5;;;;2020;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2018;;12177219.57;;;;3792066.84;;;;2120323.95;;;;2021;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2018;;8659261.7;;;;1731069.6;;;;484455.99;;;;2021;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2018;;425508.48;;;;320518.21;;;;212754.24;;;;2021;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2019;;14170295.57;;;;5572957.37;;;;3058226.62;;;;2022;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2019;;9036710.5;;;;1790654.25;;;;299839.45;;;;2022;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2019;;443492.45;;;;338452.94;;;;221746.22;;;;2022;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2020;;16036812.43;;;;4491674.75;;;;1493354.77;;;;2023;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2020;;7311989.45;;;;1346646.57;;;;248844.0;;;;2023;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2020;;381476.24;;;;286107.17;;;;190738.12;;;;2023;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2021;;23046749.4;;;;6435739.15;;;;2539606.7;;;;2024;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2021;;12250056.24;;;;3010756.82;;;;501488.0;;;;2024;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2021;;401807.2;;;;301355.4;;;;200903.6;;;;2024;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2022;;25226847.0;;;;6809657.0;;;;3489535.0;;;;2025;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2022;;14155409.0;;;;2855532.0;;;;679357.0;;;;2025;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2022;;443668.0;;;;332751.0;;;;221834.0;;;;2025;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2023;;30929473.0;;;;8459894.0;;;;4491204.0;;;;2026;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2023;;12998750.0;;;;2558758.0;;;;864098.0;;;;2026;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2023;;473093.0;;;;354820.0;;;;236547.0;;;;2026;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2024;;42274451.0;;;;10521149.0;;;;5724674.0;;;;2026;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2024;;13111146.0;;;;2802648.0;;;;883208.0;;;;2026;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2024;;491302.0;;;;368476.0;;;;245651.0;;;;2026;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Diretoria Estatutária;2025;;55369113.0;;;;12956481.0;;;;6370712.0;;;;2026;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho de Administração;2025;;10457788.0;;;;2460968.0;;;;1000514.0;;;;2026;so realizado;Consumo;Ambev
07.526.557/0001-00;AMBEV S.A.;Conselho Fiscal;2025;;515530.0;;;;385919.0;;;;257765.0;;;;2026;so realizado;Consumo;Ambev
28.594.234/0001-23;AUREN ENERGIA S.A.;Diretoria Estatutária;2018;;0.0;;;;0.0;;;;0.0;;;;2021;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Conselho de Administração;2018;;0.0;;;;0.0;;;;0.0;;;;2021;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Conselho Fiscal;2018;;0.0;;;;0.0;;;;0.0;;;;2021;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Diretoria Estatutária;2019;;1209876.49;;;;1613168.65;;;;0.0;;;;2022;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Conselho de Administração;2019;;0.0;;;;0.0;;;;0.0;;;;2022;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Conselho Fiscal;2019;;0.0;;;;0.0;;;;0.0;;;;2022;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Diretoria Estatutária;2020;;2124402.84;;;;2124402.84;;;;2124402.84;;;;2023;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Conselho de Administração;2020;;0.0;;;;0.0;;;;0.0;;;;2023;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Conselho Fiscal;2020;;0.0;;;;0.0;;;;0.0;;;;2023;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Diretoria Estatutária;2021;;1661297.33;;;;1661297.33;;;;1661297.33;;;;2024;so realizado;Utilities;Auren
