cnpj;empresa;orgao;exercicio;n_membros;n_membros_remunerados;salario;beneficios;participacoes_comites;outros_fixos;bonus;participacao_resultados;participacao_reunioes;comissoes;outros_variaveis;pos_emprego;cessacao_cargo;baseada_acoes;total_orgao;total_empresa;soma_verbas;dif_soma_total;alertas_82;desc_outras_fixas;desc_outras_variaveis;observacao;previsao;fre;data_referencia;versao;id_documento
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2015;4.0;0.0;3055548.0;0.0;0.0;0.0;0.0;2400000.0;0.0;0.0;0.0;0.0;0.0;1200000.0;6655548.0;8335548.0;6655548.0;0.0;;;;;True;2015;2015-01-01;7;56144
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2015;4.0;0.0;3024706.0;243263.0;0.0;879350.0;0.0;716164.0;0.0;0.0;0.0;0.0;0.0;1133453.0;5996936.0;8012936.0;5996936.0;0.0;;;;A Companhia entende que os valores constantes em Remuneração Baseada em Ações não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.;False;2016;2016-01-01;9;65089
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2015;4.0;4.0;3024706.0;243263.0;0.0;879350.0;0.0;716164.0;0.0;0.0;0.0;0.0;0.0;1133453.0;5996936.0;8012936.0;5996936.0;0.0;;;;A Companhia entende que os valores constantes em Remuneração Baseada em Ações não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.;False;2017;2017-01-01;8;73670
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2015;4.0;4.0;3024706.0;243263.0;0.0;879350.0;0.0;716164.0;0.0;0.0;0.0;0.0;0.0;1133453.0;5996936.0;8012936.0;5996936.0;0.0;;Encargos;;A Companhia entende que os valores constantes em Remuneração Baseada em Ações não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.;False;2018;2018-01-01;17;83118
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2016;4.0;0.0;3493852.0;299931.0;0.0;1035232.0;0.0;2920234.0;0.0;0.0;0.0;0.0;0.0;1383000.0;9132249.0;10968249.0;9132249.0;0.0;;;;A Companhia entende que os valores constantes em Remuneração Baseada em Ações não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.;True;2016;2016-01-01;9;65089
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2016;3.58;3.58;3102931.3;116481.56;0.0;1209812.21;0.0;2255722.81;0.0;0.0;0.0;0.0;294806.0;1106919.0;8086672.88;10144235.36;8086672.88;0.0;;;;;False;2017;2017-01-01;8;73670
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2016;3.58;3.58;3102931.3;116481.56;0.0;1209812.21;0.0;2255722.81;0.0;0.0;0.0;0.0;294806.0;1106919.0;8086672.88;10144235.36;8086672.88;0.0;;Encargos;;;False;2018;2018-01-01;17;83118
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2016;3.58;3.58;3102931.3;116481.56;0.0;1054144.41;778338.99;1477383.82;0.0;0.0;155668.0;0.0;294806.0;1106919.0;8086673.08;10144235.56;8086673.08;0.0;;Encargos: INSS e FGTS;Encargos: INSS;;False;2019;2019-01-01;8;92842
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2017;3.0;3.0;3306989.93;236870.61;0.0;1328739.08;0.0;3268135.0;0.0;0.0;0.0;0.0;0.0;2265689.0;10406423.62;12676372.18;10406423.62;0.0;;;;;True;2017;2017-01-01;8;73670
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2017;3.0;3.0;3107937.06;185893.59;0.0;1166215.56;877000.0;2520571.0;0.0;0.0;0.0;0.0;206648.56;2085745.87;10150011.64;12372152.87;10150011.64;0.0;;Encargos;;"Vale ressaltar que, na opinião da Companhia, os valores relacionados do Plano de Opção de Compra de Ações da Companhia não configuram ""remuneração"", para fins trabalhistas e previdenciários. Sua inclusão no computo da remuneração global dos administradores é realizada única e exclusivamente para cumprir os requisitos regulatórios da CVM.";False;2018;2018-01-01;17;83118
