cnpj;empresa;orgao;exercicio;previsto_total;realizado_total;desvio_total;desvio_total_pct;previsto_membros;realizado_membros;desvio_membros;desvio_membros_pct;fre_previsao;fre_realizado;situacao;previsto_por_membro;realizado_por_membro;desvio_por_membro_pct;setor;apelido
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2023;39906719.67;60915071.35;21008351.68;52.643644613548865;10.0;10.0;0.0;0.0;2023;2026;realizado;3990671.967;6091507.135;52.643644613548844;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2023;4016268.82;5900793.75;1884524.9300000002;46.92228071526348;9.0;9.0;0.0;0.0;2023;2026;realizado;446252.0911111111;655643.75;46.922280715263476;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2023;702315.25;280800.0;-421515.25;-60.01795489988292;6.0;3.0;-3.0;-50.0;2023;2026;realizado;117052.54166666667;93600.0;-20.03590979976585;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2024;74024167.1;71475212.24;-2548954.8599999994;-3.443409037695204;10.0;10.0;0.0;0.0;2024;2026;realizado;7402416.709999999;7147521.223999999;-3.4434090376952;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2024;11384265.29;6850974.82;-4533290.469999999;-39.82066786498788;9.0;9.0;0.0;0.0;2024;2026;realizado;1264918.3655555556;761219.4244444445;-39.82066786498788;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2024;421200.0;479700.0;58500.0;13.88888888888889;3.0;3.0;0.0;0.0;2024;2026;realizado;140400.0;159900.0;13.888888888888884;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2025;67519778.0;57606830.45;-9912947.549999997;-14.681546420368855;9.0;8.25;-0.75;-8.333333333333334;2025;2026;realizado;7502197.555555556;6982646.115151515;-6.925323367675118;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2025;9269012.76;8486720.6;-782292.1600000001;-8.439864959253764;9.0;9.0;0.0;0.0;2025;2026;realizado;1029890.3066666666;942968.9555555555;-8.439864959253763;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2025;421200.0;421200.0;0.0;0.0;3.0;3.0;0.0;0.0;2025;2026;realizado;140400.0;140400.0;0.0;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2026;67450629.06;;;;8.0;;;;2026;;so previsao;8431328.6325;;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2026;7316478.08;;;;9.0;;;;2026;;so previsao;812942.0088888889;;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2026;452790.0;;;;3.0;;;;2026;;so previsao;150930.0;;;Malls;Allos
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2007;;5992000.0;;;;4.0;;;;2010;so realizado;;1498000.0;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2007;;1195200.0;;;;6.0;;;;2010;so realizado;;199200.0;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2007;;369900.0;;;;5.0;;;;2010;so realizado;;73980.0;;Consumo;Alpargatas
